Box,Strain,Date,Name,Genus,species,Strain Synonym,
2,GBAus41,5/10/17,NVP,,,,
2,GBAus43,5/10/17,NVP,,,,
2,NVP85,7/1/19,AP,,,,
2,NVP79,8/20/15,NVP,,,,
2,NVP80,8/20/15,NVP,Mortierella,elongata,,
2,NVP82,8/20/15,NVP,,,,
2,NVP84,8/20/15,NVP,,,,
2,NVP85,8/20/15,NVP,,,,
2,NVP86,8/20/15,NVP,,,,
2,NVP87,8/20/15,NVP,,,,
2,NVP88,8/20/15,NVP,,,,
2,NVP89,8/20/15,NVP,,,,
2,NVP90,8/20/15,NVP,,,,
2,NVP93,8/20/15,NVP,,,,
2,NVP60,8/20/15,NVP,,,,
2,NVP61,8/20/15,NVP,,,,
2,NVP64,8/20/15,NVP,Mortierella,elongata,,
2,NVP65,8/20/15,NVP,,,,
2,NVP66,8/20/15,NVP,,,,
2,NVP66,8/20/15,NVP,,,,
2,NVP67,8/20/15,NVP,,,,
2,NVP70,8/20/15,NVP,,,,
2,NVP71,8/20/15,NVP,,,,
2,NVP73,8/25/15,NVP,,,,
2,NVP74,8/20/15,NVP,,,,
2,NVP37,8/20/15,NVP,,,,
2,NVP38,8/25/15,NVP,,,,
2,NVP39,8/20/15,NVP,,,,
2,NVP40,8/25/15,NVP,,,,
2,NVP41,8/20/15,NVP,,,,
2,NVP47,8/20/15,NVP,,,,
2,NVP50,8/20/15,NVP,,,,
2,NVP56,8/20/15,NVP,,,,
2,NVP57,8/20/15,NVP,,,,
2,NVP58,8/25/15,NVP,,,,
2,NVP11,4/28/15,NVP,,,,
2,NVP12,4/28/15,NVP,,,,
2,NVP17a,4/28/15,NVP,Mortierella,alpina,,
2,NVP17a,8/20/15,NVP,Mortierella,alpina,,
2,NVP17b,4/28/15,NVP,,,,
2,NVP19,4/28/15,NVP,,,,
2,NVP20,8/20/15,NVP,,,,
2,NVP21,8/20/15,NVP,,,,
2,NVP33,8/25/15,NVP,,,,
2,NVP36,8/20/15,NVP,,,,
2,NVP1,4/28/15,NVP,,,,
2,NVP2,4/28/15,NVP,,,,
2,NVP3,4/28/15,NVP,,,,
